line,city,state code,postal code,property_id,rdc_web_url,original description,normalized description,keyword_label,human label
5413 W Lockport Dr,Boise,ID,83703,M1197817472,https://www.realtor.com/realestateandhomes-detail/5413-W-Lockport-Dr_Boise_ID_83703_M11978-17472,"Jordan's Landing is a lovely neighborhood located in North Boise between Collister and Ellen's Ferry. One owner, well taken care of. Vaulted ceilings in the living area, some repainting, tons of storage, Sliding door opens to a neat efficient back yard. Gutter Helmet. Close to so many amenities ~ downtown Boise, foothills, golf, schools, shopping. Garage features pull down stair for extra storage. Window Seats with storage in all bedrooms and Living Room Act quickly!",jordans land lovely neighborhood locate north boise collister ellens ferry one owner well take care vault ceilings live area repaint tons storage slide door open neat efficient back yard gutter helmet close many amenities downtown boise foothills golf school shop garage feature pull stair extra storage window seat storage bedrooms live room act quickly,not-distressed,not-distressed
6481 N Waterlilly Way,Boise,ID,83714,M1340628787,https://www.realtor.com/realestateandhomes-detail/6481-N-Waterlilly-Pl_Boise_ID_83714_M13406-28787,"Best Value in the Neighborhood. 207/Sq Ft. The rest of the homes are over 240/sq ft. Welcome Home! Great house, new flooring, new bosch dishwasher and stove. Open floor plan, bonus room on the main level. Covered back patio! Quiet street and close to shopping!",best value neighborhood 207sq ft rest home 240sq ft welcome home great house new floor new bosch dishwasher stave open floor plan bonus room main level cover back patio quiet street close shop,not-distressed,not-distressed
8753 W Mornin Mist St,Boise,ID,83709,M1510489582,https://www.realtor.com/realestateandhomes-detail/8753-W-Mornin-Mist-St_Boise_ID_83709_M15104-89582,"This lovely home is available, in the heart of Boise, with outstanding potential to be spectacular. Structured with good bones, this desired try-level is ready to be occupied! Main area includes living area, quaint kitchenn, dining area and fine dining. Upper Level has 3 beds 2 baths. Lower level offers another living area with a fireplace, 1 bed and 1 bath. Oversized 2 car garage with shelving available, and a delightful backyard. Come check it out, there are endless possibilities with this one!",lovely home available heart boise outstanding potential spectacular structure good bone desire trylevel ready occupy main area include live area quaint kitchenn din area fine din upper level 3 bed 2 bath lower level offer another live area fireplace 1 bed 1 bath oversized 2 car garage shelve available delightful backyard come check endless possibilities one,distressed,distressed
4689 W Jewell St,Boise,ID,83706,M2334722994,https://www.realtor.com/realestateandhomes-detail/4689-W-Jewell-St_Boise_ID_83706_M23347-22994,"This home is a sure winner! This house has a small footprint but big features. Open floor plan, gas fireplace and large & efficient kitchen. Includes an office space, brand new furnace & spacious and sunny eating area. Large single car garage with storage. Don't miss this opportunity to live in this Central Rim neighborhood. Blocks from the Greenbelt and Connector. Close to Albertsons Park and Julia Davis Park. Convenient, Cozy and Charming!",home sure winner house small footprint big feature open floor plan gas fireplace large efficient kitchen include office space brand new furnace spacious sunny eat area large single car garage storage dont miss opportunity live central rim neighborhood block greenbelt connector close albertsons park julia davis park convenient cozy charm,distressed,distressed
1801 S Vista Ave,Boise,ID,83705,M1894257407,https://www.realtor.com/realestateandhomes-detail/1801-S-Vista-Ave_Boise_ID_83705_M18942-57407,"Mixed Use Property! High traffic home and lot, diamond in the rough, has a ton of potential. Located in the main corridor heading to downtown Boise from the Boise Airport. Subject property is currently zoned for a residential use. Remodel or build on this lot zoned R-3D. ADT, average daily traffic counts from ACHD, of approx. 23k-26k. LOCATION, LOCATION, LOCATION 1805 S. Vista Ave. can also be purchased, the home beside this one which as a pair would give .30 acres",mix use property high traffic home lot diamond rough ton potential locate main corridor head downtown boise boise airport subject property currently zone residential use remodel build lot zone r3d adt average daily traffic count achd approx 23k26k location location location 1805 vista ave also purchase home beside one pair would give 30 acres,distressed,distressed
8345 W Amherst Dr,Boise,ID,83704,M1656066098,https://www.realtor.com/realestateandhomes-detail/8345-W-Amherst-Dr_Boise_ID_83704_M16560-66098,"Wonderfully Update West Boise Home - Beautiful Hardwood Floors, NEW Carpets, Freshly Painted Interior. Lg Master Bedroom / Bathroom Suite plus Walk-in Closet. Spacious kitchen with eat-in dining room space plus built-in for your various kitchen items. Large Backyard Patio area for BBQ's & Entertaining for friends & family etc;. Mature landscaping, NEW Fence, FRT / BK Sprinklers plus side yard entry for a small trailer/RV type vehicle. Garage wired with 220-Volt. SELLER TO UPDATE THE EXTERIOR PAINT COLOR.",wonderfully update west boise home beautiful hardwood floor new carpet freshly paint interior lg master bedroom bathroom suite plus walkin closet spacious kitchen eatin din room space plus builtin various kitchen items large backyard patio area bbqs entertain friends family etc mature landscape new fence frt bk sprinklers plus side yard entry small trailerrv type vehicle garage wire 220volt seller update exterior paint color,not-distressed,not-distressed
1928 W Verna Ln,Boise,ID,83706,M1579691735,https://www.realtor.com/realestateandhomes-detail/1928-W-Verna-Ln_Boise_ID_83706_M15796-91735,Pre-Sold,presold,none,remove
11391 W Pattie Ct,Boise,ID,83713,M1674526038,https://www.realtor.com/realestateandhomes-detail/11391-W-Pattie-Ct_Boise_ID_83713_M16745-26038,"Move-in ready, well priced home on corner lot with mature landscaping. Recent updates (completed 2017-2020) include vinyl windows; carpet in living, hallway and master; patio door, bathroom sinks and fixtures, acrylic bath and shower surrounds; fresh paint; kitchen countertops, sink/fixtures and dishwasher. Attic insulation increased to R50; plumbing updated to pex throughout home. Wood burning fireplace with brick surround and hearth; vaulted ceilings in living/dining rooms; mature landscaping, fenced",movein ready well price home corner lot mature landscape recent update complete 20172020 include vinyl windows carpet live hallway master patio door bathroom sink fixtures acrylic bath shower surround fresh paint kitchen countertops sinkfixtures dishwasher attic insulation increase r50 plumb update pex throughout home wood burn fireplace brick surround hearth vault ceilings livingdining room mature landscape fence,not-distressed,not-distressed
11001 W Wampum Dr,Boise,ID,83713,M1052296596,https://www.realtor.com/realestateandhomes-detail/11001-Wampum-Dr_Boise_ID_83713_M10522-96596,"This beautiful home is nestled among the mature trees w/new landscaping. The kitchen features new cabinets, countertops, & laminate flooring throughout the home. Enjoy the spacious living room w/lg windows, family room w/wood-burning fireplace, & oversized 2 car garage. This home can easily accommodate parking for a boat, RV, or camp trailer & so much more. Great shopping, restaurants, & school close by. Newer gas furnace, a/c, and other updates inside this well laid out home. A real gem for a great price.",beautiful home nestle among mature tree wnew landscape kitchen feature new cabinets countertops laminate floor throughout home enjoy spacious live room wlg windows family room wwoodburning fireplace oversized 2 car garage home easily accommodate park boat rv camp trailer much great shop restaurants school close newer gas furnace ac update inside well lay home real gem great price,not-distressed,not-distressed
1420 S Longmont Ave,Boise,ID,83706,M2841974408,https://www.realtor.com/realestateandhomes-detail/1420-S-Longmont-Ave_Boise_ID_83706_M28419-74408,"CUTE COTTAGE NEAR BSU AND ALBERTSONS. CLOSE PROXIMITY TO FREEWAY, AIRPORT AND DOWNTOWN. TONS OF POTENTIAL HERE! TWO BEDROOMS, ONE BATHROOM COTTAGE WITH LARGE YARD GREAT FOR RV OR BOAT STORAGE. ONE CAR GARAGE. HOME IS BEING SOLD IN AS-IS CONDITION",cute cottage near bsu albertsons close proximity freeway airport downtown tons potential two bedrooms one bathroom cottage large yard great rv boat storage one car garage home sell asis condition,distressed,distressed
2140 S Colorado Ave,Boise,ID,83706,M1185034031,https://www.realtor.com/realestateandhomes-detail/2140-S-Colorado-Ave_Boise_ID_83706_M11850-34031,"Charming mid-century modern brick home close to Ivywild Park, Boise State University, and Downtown Boise. This well maintained single level home highlights ample natural lighting, a spacious living room, and beautiful hardwood and laminate floors. The exterior showcases beautiful mature landscaping, a private fenced backyard, and a lattice covered patio. No CC&Rs!",charm midcentury modern brick home close ivywild park boise state university downtown boise well maintain single level home highlight ample natural light spacious live room beautiful hardwood laminate floor exterior showcases beautiful mature landscape private fence backyard lattice cover patio ccrs,not-distressed,not-distressed
5622 W Edson St,Boise,ID,83705,M1396084636,https://www.realtor.com/realestateandhomes-detail/5622-W-Edson-St_Boise_ID_83705_M13960-84636,"Cute remolded home sitting on a perfect lot with no back neighbors and views of the Boise mountains. Heat and A/C is new with three new mini splits, natural gas is in the home for the gas range. Home is adorable, Original hardwood floors just professionally redone. Newer vinyl windows, new kitchen, new bathroom, new interior and exterior paint. This home is a gem, perfect Boise bench location. Hurry will not last long.",cute remold home sit perfect lot back neighbor view boise mountains heat ac new three new mini split natural gas home gas range home adorable original hardwood floor professionally redo newer vinyl windows new kitchen new bathroom new interior exterior paint home gem perfect boise bench location hurry last long,not-distressed,not-distressed
11529 W Ginger Creek Dr,Boise,ID,83713,M1445462009,https://www.realtor.com/realestateandhomes-detail/11529-W-Ginger-Creek-Dr_Boise_ID_83713_M14454-62009,"Super Cute home on large CORNER LOT in West Boise! Established neighborhood, NO HOA!! This home comes with many upgrades inside and out! Newer roof, Newer heating and cooling, Newer flooring and paint, custom doors and trim, and the list continues! Big windows in each room bring NATURAL light maiking it nice and BRIGHT! Fully fenced yard with chicken coop and a side yard garden area! You can't ask for much more! Great place to make HOME or as an investment property! Pictures coming tomorrow.",super cute home large corner lot west boise establish neighborhood hoa home come many upgrade inside newer roof newer heat cool newer floor paint custom doors trim list continue big windows room bring natural light maiking nice bright fully fence yard chicken coop side yard garden area cant ask much great place make home investment property picture come tomorrow,distressed,not-distressed
7501 W Settlers Ave,Boise,ID,83704,M9597393760,https://www.realtor.com/realestateandhomes-detail/7501-W-Settlers-Ave_Boise_ID_83704_M95973-93760,"Beautiful remodeled home nested on a quiet street in West Boise. Centrally located w/ easy access to shopping, restaurants, downtown & I84! Positioned on the north part of the lot- w/ lots of room to build a 700 SF ADU & shop. RV parking & no HOA dues! Brand new 30 year roof, new siding, windows, plumbing & electrical. Over 1600 sf- 3 beds plus an office. New carpet throughout. New ductless system & LVP hardwood flooring. New exterior & interior paint. New fencing installed. Low cost Capitol Water.",beautiful remodel home nest quiet street west boise centrally locate w easy access shop restaurants downtown i84 position north part lot w lot room build 700 sf adu shop rv park hoa dues brand new 30 year roof new side windows plumb electrical 1600 sf 3 bed plus office new carpet throughout new ductless system lvp hardwood floor new exterior interior paint new fence instal low cost capitol water,not-distressed,not-distressed
5506 W Edson St,Boise,ID,83705,M1397090816,https://www.realtor.com/realestateandhomes-detail/5506-W-Edson-St_Boise_ID_83705_M13970-90816,"GREAT CENTRALIZED LOCATION! 3 min. from I-84, 8 min. from downtown, close to shopping, restaurants and more. This cozy home was remodeled in 2018. Furnace, Air conditioning and Hot water heater replaced in 2018. Solar Panels installed in 2018 - NO POWER BILL! Approved Accessory Dwelling Unit (ADU), which could be a separate living quarter or income property . Ask your agent for additional information regarding the solar system and ADU. OPEN HOUSE Saturday, 11/21, 10:00 - 1:00PM",great centralize location 3 min i84 8 min downtown close shop restaurants cozy home remodel 2018 furnace air condition hot water heater replace 2018 solar panel instal 2018 power bill approve accessory dwell unit adu could separate live quarter income property ask agent additional information regard solar system adu open house saturday 1121 1000 100pm,none,not-distressed
1725 S Grant Ave,Boise,ID,83706,M2354489871,https://www.realtor.com/realestateandhomes-detail/1725-S-Grant-Ave_Boise_ID_83706_M23544-89871,"Location, Location, Location!! SE Boise Cottage within walking distance to BSU, shopping and Manitou Park. Nicely landscaped front yard plus private backyard with patio cover, landscaping, fully fenced (some new) and storage shed. Comfortable 2 bedroom, 1.5 bath with spacious kitchen and eating area enhanced with tons of natural light. Well cared for home with central vacuum, tons of storage and includes refrigerator. Concrete pad for parking.",location location location se boise cottage within walk distance bsu shop manitou park nicely landscape front yard plus private backyard patio cover landscape fully fence new storage shed comfortable 2 bedroom 15 bath spacious kitchen eat area enhance tons natural light well care home central vacuum tons storage include refrigerator concrete pad park,not-distressed,distressed
1837 S Penninger Dr,Boise,ID,83709,M9610364014,https://www.realtor.com/realestateandhomes-detail/1837-S-Penninger-Dr_Boise_ID_83709_M96103-64014,"This wonderful home is ready for the new owner to bring it to its full potential. 1/3 acre lot has room to build the shop of your dreams. 3 bedrooms and a large downstairs bonus room give you space to work from home but also enjoy your home life. Beautiful hardwood floors and newer carpet grace the living spaces. The oversized lot features apple trees and backs up to the canal. There is room for RV parking in addition to the heated 2 car garage. No HOA and close to freeway, shopping, and dining.",wonderful home ready new owner bring full potential 13 acre lot room build shop dream 3 bedrooms large downstairs bonus room give space work home also enjoy home life beautiful hardwood floor newer carpet grace live space oversized lot feature apple tree back canal room rv park addition heat 2 car garage hoa close freeway shop din,distressed,distressed
2982 E Nahuatl Dr,Boise,ID,83716,M1244716401,https://www.realtor.com/realestateandhomes-detail/2982-E-Nahuatl-Dr_Boise_ID_83716_M12447-16401,"Charming single level home in desirable neighborhood in South East Boise. Spacious family room, open kitchen, split bedroom floor plan. Private office space for your work/school from home needs. Spacious master bedroom, bathroom and master closet. Kitchen provides granite counter tops, breakfast bar, open dining area, ample storage and a pantry! Manicured front yard, xeriscape back yard, RV parking. Private corner lot. Close to shopping, restaurants and schools. Check this gem out today!",charm single level home desirable neighborhood south east boise spacious family room open kitchen split bedroom floor plan private office space workschool home need spacious master bedroom bathroom master closet kitchen provide granite counter top breakfast bar open din area ample storage pantry manicure front yard xeriscape back yard rv park private corner lot close shop restaurants school check gem today,not-distressed,not-distressed
2020 S Hervey St,Boise,ID,83705,M1276908151,https://www.realtor.com/realestateandhomes-detail/2020-S-Hervey-St_Boise_ID_83705_M12769-08151,"Charming Boise Bench home conveniently situated just minutes from downtown providing easy access to I-84, green space, public transportation and BSU. Functional floorpan with open living areas on main floor and dual master suites upstairs. Relax in your shady, fully fenced backyard with alley access and designated off street parking. Come see this well-maintained, tastefully updated home in a prime Boise location!",charm boise bench home conveniently situate minutes downtown provide easy access i84 green space public transportation bsu functional floorpan open live areas main floor dual master suit upstairs relax shady fully fence backyard alley access designate street park come see wellmaintained tastefully update home prime boise location,not-distressed,not-distressed
3926 N Cambria Way,Boise,ID,83703,M2735171439,https://www.realtor.com/realestateandhomes-detail/3926-N-Cambria-Way_Boise_ID_83703_M27351-71439,"Location location , just a short walk to the greenbelt & Boise River. Nicely remodeled home less than a year ago. Newer flooring interior & exterior paint newer counter tops and appliances. Open living area , private sliding door off the master bedroom into the nicely landscaped backyard and garden area. Walk to grade & Junior high school and park area.",location location short walk greenbelt boise river nicely remodel home less year ago newer floor interior exterior paint newer counter top appliances open live area private slide door master bedroom nicely landscape backyard garden area walk grade junior high school park area,not-distressed,not-distressed
8465 W Winchester Dr,Boise,ID,83704,M2052223886,https://www.realtor.com/realestateandhomes-detail/8465-W-Winchester-Dr_Boise_ID_83704_M20522-23886,"Extremely well maintained 3 bdrm, 2bath home on spacious lot with mature landscaping and beautiful garden areas, great location in central Boise Sub. Kitchen features granite counter tops and oak cabinets, large dining and living rooms, laminate floors and gas fireplace with remote! Redwood decks in front and back. 2 RV parking areas, 2 storage sheds, newer fencing, rain gutters and Milguard windows. Property is being sold as is . Buyer and buyer's agent to verify all information.",extremely well maintain 3 bdrm 2bath home spacious lot mature landscape beautiful garden areas great location central boise sub kitchen feature granite counter top oak cabinets large din live room laminate floor gas fireplace remote redwood deck front back 2 rv park areas 2 storage shed newer fence rain gutter milguard windows property sell buyer buyers agent verify information,not-distressed,distressed
3837 N Patricia Ln,Boise,ID,83704,M1105247648,https://www.realtor.com/realestateandhomes-detail/3837-N-Patricia-Ln_Boise_ID_83704_M11052-47648,INCOME opportunity in this mature Boise neighborhood! This home features two living spaces so you can live upstairs & rent the downstairs to cover your mortgage! The garage was converted into extra living space. The backyard features garden space and a storage shed. There is RV parking with clean out and 60 amp power close enough to convert for RV use. The power has been upgraded and all of the original plumbing inside the home has been replaced. Lower bathroom was widened for wheel chair access.,income opportunity mature boise neighborhood home feature two live space live upstairs rent downstairs cover mortgage garage convert extra live space backyard feature garden space storage shed rv park clean 60 amp power close enough convert rv use power upgrade original plumb inside home replace lower bathroom widen wheel chair access,distressed,distressed
2208 W Frederic St,Boise,ID,83705,M1404767600,https://www.realtor.com/realestateandhomes-detail/2208-W-Frederic-St_Boise_ID_83705_M14047-67600,"Enjoy an updated piece of Boise <1 mile from BSU and no HOA. Step into an updated interior, refinished Oak Hardwood floors throughout, spacious bedrooms, central heating & a/c, low energy bills & tons of character. Outside, native Idaho flowers, covered patio & cozy fire ring await. Eat from Pear, Plum, Peach, & Cherry trees, grow veggies from 6 planter boxes in fenced garden behind garage, & keep chickens in a custom built chicken coop. Side yard w/ plenty of space for future RV pad. Welcome home!",enjoy update piece boise 1 mile bsu hoa step update interior refinish oak hardwood floor throughout spacious bedrooms central heat ac low energy bill tons character outside native idaho flower cover patio cozy fire ring await eat pear plum peach cherry tree grow veggies 6 planter box fence garden behind garage keep chickens custom build chicken coop side yard w plenty space future rv pad welcome home,not-distressed,not-distressed
4815 W Richardson St,Boise,ID,83705,M1659927509,https://www.realtor.com/realestateandhomes-detail/4815-W-Richardson-St_Boise_ID_83705_M16599-27509,"?Beautifully updated home from all new Trim/Molding to Newer Windows to Amazing Flooring W/Cabinets to New Granite Counter tops in Kitchen, Master Bath and Main Bath, to Newer Carpet and Newer Master Bath Tile to Electrical and Plumbing to HVAC to Newer Roof and Brand New Siding and Outside Paint. Full Sprinklers and Fencing. Rear of yard will have new fence.",beautifully update home new trimmolding newer windows amaze floor wcabinets new granite counter top kitchen master bath main bath newer carpet newer master bath tile electrical plumb hvac newer roof brand new side outside paint full sprinklers fence rear yard new fence,not-distressed,not-distressed
9558 W Creede St,Boise,ID,83704,M2108609183,https://www.realtor.com/realestateandhomes-detail/9558-W-Creede-St_Boise_ID_83704_M21086-09183,"EXCELLENT LOCATION & FLOORPLAN! Beautiful 3-bedroom, 2 bath home includes wood burning fireplace, tiled entry, vaulted ceiling, wood-wrapped windows, 2 car garage, and front/rear patios. Bathrooms w/skylights; owner's suite with private bath, step-in shower, and W-I-C; & lots of storage space. Unique third bedroom has the ability to be a private office or separate living quarters with its own side entrance and patio. Newer A/C and roof and 2020 HWH. Less than 1 mile from Hyatt Hidden Lakes Reserve.",excellent location floorplan beautiful 3bedroom 2 bath home include wood burn fireplace tile entry vault ceiling woodwrapped windows 2 car garage frontrear patios bathrooms wskylights owners suite private bath stepin shower wic lot storage space unique third bedroom ability private office separate live quarter side entrance patio newer ac roof 2020 hwh less 1 mile hyatt hide lakes reserve,not-distressed,not-distressed
3525 S Annett Ave,Boise,ID,83705,M1874579337,https://www.realtor.com/realestateandhomes-detail/3525-S-Annett-Ave_Boise_ID_83705_M18745-79337,"Charming and renovated w/new custom kitchen featuring quartz counters, stainless steel appliances, & custom cabinetry. Enjoy new flooring throughout as well as new paint for a fresh new feel. Entertain on your own private patio with fully fenced back yard and space on the side for a small trailer or boat. You'll fall in love with this cozy bench home!",charm renovate wnew custom kitchen feature quartz counter stainless steel appliances custom cabinetry enjoy new floor throughout well new paint fresh new feel entertain private patio fully fence back yard space side small trailer boat youll fall love cozy bench home,not-distressed,not-distressed
2909 W Clark St,Boise,ID,83705,M1699168546,https://www.realtor.com/realestateandhomes-detail/2909-W-Clark-St_Boise_ID_83705_M16991-68546,"Great location on the Boise Bench and a unique Mid-Century design! Single level 3 bedroom 2 bath with an additional den/office/potential 4th bedroom. Brand new kitchen with new appliances, tile floors and granite counters. The bathrooms have been updated. The owner was in the process of remodeling so the project has stopped and left in its current condition. Sold in AS-IS condition with no repairs to be made by seller. Roof 5 years old and newer furnace.",great location boise bench unique midcentury design single level 3 bedroom 2 bath additional denofficepotential 4th bedroom brand new kitchen new appliances tile floor granite counter bathrooms update owner process remodel project stop leave current condition sell asis condition repair make seller roof 5 years old newer furnace,distressed,distressed
1146 N Dawn Dr,Boise,ID,83713,M9124306902,https://www.realtor.com/realestateandhomes-detail/1146-N-Dawn-Dr_Boise_ID_83713_M91243-06902,"Pick your selections & build your dream home! Price includes the following selections within reason: countertops, laminate flooring, tile shower color, & exterior/interior paint colors. Kitchen features include mahogany butcher block countertops, breakfast nook, kitchen island, gas range, & appliance package. 9x8 wide garage doors & no carpet (laminate throughout). Fireplace shown in pictures not included. Wonderful location close to Cloverdale Memorial Park & minutes from shopping!",pick selections build dream home price include follow selections within reason countertops laminate floor tile shower color exteriorinterior paint color kitchen feature include mahogany butcher block countertops breakfast nook kitchen island gas range appliance package 9x8 wide garage doors carpet laminate throughout fireplace show picture include wonderful location close cloverdale memorial park minutes shop,not-distressed,not-distressed
4532 W Pasadena Dr,Boise,ID,83705,M1681280894,https://www.realtor.com/realestateandhomes-detail/4532-W-Pasadena-Dr_Boise_ID_83705_M16812-80894,"There is multiple offer, so please give your highest best offers, offers will be accepted till 5:00 Pm Sunday 11/22/2020, seller will respond by 6:00 pm 11/22/2020 that night. House in desirable sub, close to shopping, schools. 3br/2ba home in Boise for under $250, 000! Full master bedroom, large kitchen, tile floors in kitchen and baths. Separate laundry area, large back deck and over 1/4 ac. lot Very private backyard with plenty of space for pets and BBQs. With a little TLC this home could shine.",multiple offer please give highest best offer offer accept till 500 pm sunday 11222020 seller respond 600 pm 11222020 night house desirable sub close shop school 3br2ba home boise 250 000 full master bedroom large kitchen tile floor kitchen bath separate laundry area large back deck 14 ac lot private backyard plenty space pet bbqs little tlc home could shine,distressed,distressed
6433 N Portsmouth Ave,Boise,ID,83714,M1704467037,https://www.realtor.com/realestateandhomes-detail/6433-N-Portsmouth-Ave_Boise_ID_83714_M17044-67037,"Turn-key Beauty! All Furnishings, Appliances & Spectacular Decor throughout included. Completely set up for use as a short term rental (Reach out to established rep at Vacasa and you are good to go! Inquire for more details). Would also make for a nice second home or just pack up your clothes and move right in. Great location: Near Foothills, New Pierce Park Elementary School and minutes to downtown Boise, the Boise River & Greenbelt pathway. This home offers so much new! Check out the 3-D tour.",turnkey beauty furnish appliances spectacular decor throughout include completely set use short term rental reach establish rep vacasa good go inquire detail would also make nice second home pack clothe move right great location near foothills new pierce park elementary school minutes downtown boise boise river greenbelt pathway home offer much new check 3d tour,not-distressed,not-distressed
